\\Hourly Zonal Demand Report,,,,,,,,,,,,,,
\\Created at 2026-04-05 08:00:17,,,,,,,,,,,,,,
\\For 2026,,,,,,,,,,,,,,
Date,Hour,Ontario Demand,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West,Zone Total,Diff
2026-01-01,1,16526,688,1474,1049,1085,5568,1219,96,3000,569,1949,16697,171
2026-01-01,2,16374,686,1454,1024,1118,5451,1187,95,2926,563,2018,16522,148
2026-01-01,3,16242,683,1446,1005,1057,5337,1167,95,2929,552,2046,16317,75
2026-01-01,4,16155,676,1432,1000,1072,5242,1164,96,2863,552,2061,16158,3
2026-01-01,5,16180,677,1481,1006,1095,5199,1166,97,2879,551,2077,16228,47
2026-01-01,6,16385,675,1488,1028,1145,5226,1188,99,2934,554,2115,16451,67
2026-01-01,7,16739,680,1503,1065,1224,5319,1224,108,2977,574,2157,16830,91
2026-01-01,8,17205,683,1503,1097,1301,5391,1255,109,3049,588,2226,17203,-2
2026-01-01,9,17427,695,1488,1118,1330,5472,1299,110,3094,591,2262,17459,32
2026-01-01,10,17639,704,1452,1133,1336,5564,1339,111,3170,570,2235,17615,-24
2026-01-01,11,17749,709,1476,1145,1349,5672,1354,111,3222,565,2188,17792,43
2026-01-01,12,17948,712,1484,1162,1315,5870,1377,110,3235,578,2140,17983,35
2026-01-01,13,18013,706,1511,1178,1300,6034,1395,113,3257,596,2019,18108,95
2026-01-01,14,17692,702,1479,1173,1318,5995,1379,113,3233,615,1877,17885,194
2026-01-01,15,17889,698,1478,1171,1357,5989,1364,113,3243,631,2200,18244,355
2026-01-01,16,18583,705,1511,1192,1385,6093,1399,113,3327,635,2351,18712,129
2026-01-01,17,19229,715,1551,1272,1506,6297,1485,113,3448,642,2265,19294,65
2026-01-01,18,19910,729,1571,1346,1557,6585,1583,114,3657,649,2105,19895,-15
2026-01-01,19,19435,730,1559,1319,1522,6575,1559,112,3586,653,2017,19631,196
2026-01-01,20,19152,728,1602,1289,1484,6492,1517,108,3514,619,1942,19294,143
2026-01-01,21,18778,720,1547,1269,1409,6383,1472,105,3444,605,1872,18826,48
2026-01-01,22,18273,715,1528,1237,1370,6245,1414,102,3399,591,1818,18419,146
2026-01-01,23,17718,708,1554,1175,1307,6022,1336,99,3359,660,1904,18124,406
2026-01-01,24,17182,694,1475,1119,1263,5759,1269,97,3271,652,1913,17511,329
2026-01-02,1,16756,681,1480,1077,1222,5521,1224,96,3162,625,1950,17037,282
2026-01-02,2,16405,672,1462,1054,1212,5325,1192,96,2980,610,1994,16597,193
2026-01-02,3,16227,672,1456,1047,1238,5179,1167,96,2918,605,2032,16410,183
2026-01-02,4,16133,673,1449,1048,1243,5104,1165,96,2900,588,2068,16335,202
2026-01-02,5,16215,670,1443,1066,1261,5105,1179,96,2918,581,2116,16434,219
2026-01-02,6,16606,671,1434,1105,1315,5207,1201,97,3000,561,2138,16729,123
2026-01-02,7,17354,677,1458,1180,1398,5495,1262,100,3104,573,2232,17479,124
2026-01-02,8,18149,619,1501,1228,1465,5781,1308,104,3328,580,2324,18239,90
2026-01-02,9,18542,632,1563,1258,1487,5978,1363,107,3435,602,2326,18751,209
2026-01-02,10,18858,637,1570,1274,1449,6170,1385,109,3431,621,2362,19008,150
2026-01-02,11,18989,626,1564,1268,1389,6272,1370,108,3482,628,2377,19084,96
2026-01-02,12,18836,614,1530,1259,1364,6349,1351,108,3478,640,2340,19032,196
2026-01-02,13,18770,607,1520,1246,1319,6315,1351,108,3434,664,2267,18831,60
